Title,City,State,Group,Ideology,Headquarters,Statewide,Year
Nation of Islam,Tulsa,Oklahoma,Nation of Islam,Black Separatist,,,2015
Nation of Islam,Washington,District of Columbia,Nation of Islam,Black Separatist,,,2015
Nation of Islam,Wilkinsburg,Pennsylvania,Nation of Islam,Black Separatist,,,2015
Nation of Islam,Willingboro,New Jersey,Nation of Islam,Black Separatist,,,2015
Nation of Islam,Wilmington,Delaware,Nation of Islam,Black Separatist,,,2015
Nation of Islam,Winston-Salem,North Carolina,Nation of Islam,Black Separatist,,,2015
Nation of Islam,Youngstown,Ohio,Nation of Islam,Black Separatist,,,2015
National Alliance,Hillsboro,West Virginia,National Alliance,Neo-Nazi,,,2015
National Alliance,Laurel Bloomery,Tennessee,National Alliance,Neo-Nazi,,,2015
National Alliance Reform and Restoration Group,Carson City,Nevada,National Alliance,Neo-Nazi,,,2015
National Association for the Advancement of America,McComb,Mississippi,,White Nationalist,,,2015
National Coalition for Immigration Reform (formerly California Coalition for Immigration Reform),Huntington Beach,California,,Anti-Immigrant,,,2015
National Policy Institute,Whitefish,Montana,,White Nationalist,,,2015
National Prayer Network,Clackamas,Oregon,,General Hate,,,2015
National Socialist Freedom Movement,Tulsa,Oklahoma,,Neo-Nazi,,,2015
National Socialist German Workers Party,Lincoln,Nebraska,,Neo-Nazi,,,2015
National Socialist Movement,Atlanta,Georgia,National Socialist Movement,Neo-Nazi,,,2015
National Socialist Movement,Chesterfield,Virginia,National Socialist Movement,Neo-Nazi,,,2015
National Socialist Movement,Chicago,Illinois,National Socialist Movement,Neo-Nazi,,,2015
National Socialist Movement,Cleveland,Ohio,National Socialist Movement,Neo-Nazi,,,2015
National Socialist Movement,Dallas,Texas,National Socialist Movement,Neo-Nazi,,,2015
National Socialist Movement,Des Moines,Iowa,National Socialist Movement,Neo-Nazi,,,2015
National Socialist Movement,Detroit,Michigan,National Socialist Movement,Neo-Nazi,,,2015
National Socialist Movement,Fresno,California,National Socialist Movement,Neo-Nazi,,,2015
National Socialist Movement,Myrtle Beach,South Carolina,National Socialist Movement,Neo-Nazi,,,2015
National Socialist Movement,San Diego,California,National Socialist Movement,Neo-Nazi,,,2015
National Socialist Movement,Savannah,Georgia,National Socialist Movement,Neo-Nazi,,,2015
National Socialist Movement,Springfield,Missouri,National Socialist Movement,Neo-Nazi,,,2015
National Socialist Movement,Syracuse,New York,National Socialist Movement,Neo-Nazi,,,2015
National Socialist Movement,Tallahassee,Florida,National Socialist Movement,Neo-Nazi,,,2015
National Socialist Movement,Toledo,Ohio,National Socialist Movement,Neo-Nazi,,,2015
National Socialist Movement,Tucson,Arizona,National Socialist Movement,Neo-Nazi,,,2015
National Socialist Movement,Yucca Valley,California,National Socialist Movement,Neo-Nazi,,,2015
National Socialist Movement,,New York,National Socialist Movement,Neo-Nazi,,Yes,2015
National Socialist Movement,,Wisconsin,National Socialist Movement,Neo-Nazi,,Yes,2015
National Socialist Movement,,Colorado,National Socialist Movement,Neo-Nazi,,Yes,2015
National Socialist Movement,,Connecticut,National Socialist Movement,Neo-Nazi,,Yes,2015
National Socialist Movement,,Oregon,National Socialist Movement,Neo-Nazi,,Yes,2015
National Socialist Movement,,Delaware,National Socialist Movement,Neo-Nazi,,Yes,2015
National Socialist Movement,,Montana,National Socialist Movement,Neo-Nazi,,Yes,2015
National Socialist Movement,,Vermont,National Socialist Movement,Neo-Nazi,,Yes,2015
National Socialist Movement,,Mississippi,National Socialist Movement,Neo-Nazi,,Yes,2015
National Socialist Movement,,Massachusetts,National Socialist Movement,Neo-Nazi,,Yes,2015
National Socialist Movement,,Maine,National Socialist Movement,Neo-Nazi,,Yes,2015
National Socialist Movement,,Alabama,National Socialist Movement,Neo-Nazi,,Yes,2015
National Socialist Movement,,Louisiana,National Socialist Movement,Neo-Nazi,,Yes,2015
National Socialist Movement,,Maryland,National Socialist Movement,Neo-Nazi,,Yes,2015
National Socialist Movement,,Florida,National Socialist Movement,Neo-Nazi,,Yes,2015
National Socialist Movement,,Tennessee,National Socialist Movement,Neo-Nazi,,Yes,2015
National Socialist Movement,,Indiana,National Socialist Movement,Neo-Nazi,,Yes,2015
National Socialist Movement,,Utah,National Socialist Movement,Neo-Nazi,,Yes,2015
National Socialist Movement,,Wyoming,National Socialist Movement,Neo-Nazi,,Yes,2015
National Socialist Movement,,Arkansas,National Socialist Movement,Neo-Nazi,,Yes,2015
National Socialist Movement,,Idaho,National Socialist Movement,Neo-Nazi,,Yes,2015
National Socialist Movement,,Iowa,National Socialist Movement,Neo-Nazi,,Yes,2015
National Socialist Movement,,North Carolina,National Socialist Movement,Neo-Nazi,,Yes,2015
National Socialist Movement,,Pennsylvania,National Socialist Movement,Neo-Nazi,,Yes,2015
National Socialist Movement,,Rhode Island,National Socialist Movement,Neo-Nazi,,Yes,2015
National Socialist Movement,,Kentucky,National Socialist Movement,Neo-Nazi,,Yes,2015
National Socialist Movement,,Nebraska,National Socialist Movement,Neo-Nazi,,Yes,2015
National Socialist Movement,,Washington,National Socialist Movement,Neo-Nazi,,Yes,2015
National Socialist Movement,,New Hampshire,National Socialist Movement,Neo-Nazi,,Yes,2015
National Youth Front,Oakdale,California,,White Nationalist,,,2015
Nationalist Movement,Savannah,Georgia,,White Nationalist,,,2015
New Black Panther Party,Atlanta,Georgia,New Black Panther Party,Black Separatist,,,2015
New Black Panther Party,Augusta,Georgia,New Black Panther Party,Black Separatist,,,2015
New Black Panther Party,Dayton,Ohio,New Black Panther Party,Black Separatist,,,2015
New Black Panther Party,Daytona Beach,Florida,New Black Panther Party,Black Separatist,,,2015
New Black Panther Party,Hattiesburg,Mississippi,New Black Panther Party,Black Separatist,,,2015
New Black Panther Party,Houston,Texas,New Black Panther Party,Black Separatist,,,2015
New Black Panther Party,Jacksonville,Florida,New Black Panther Party,Black Separatist,,,2015
New Black Panther Party,Miami,Florida,New Black Panther Party,Black Separatist,,,2015
New Black Panther Party,Nashville,Tennessee,New Black Panther Party,Black Separatist,,,2015
New Black Panther Party,Newark,New Jersey,New Black Panther Party,Black Separatist,,,2015
New Black Panther Party,Orlando,Florida,New Black Panther Party,Black Separatist,,,2015
New Black Panther Party,Springfield,Illinois,New Black Panther Party,Black Separatist,,,2015
New Black Panther Party,St. Louis,Missouri,New Black Panther Party,Black Separatist,,,2015
New Black Panther Party,Tallahassee,Florida,New Black Panther Party,Black Separatist,,,2015
New Black Panther Party,Tampa,Florida,New Black Panther Party,Black Separatist,,,2015
New Black Panther Party,Vero Beach,Florida,New Black Panther Party,Black Separatist,,,2015
New Black Panther Party,Virginia Beach,Virginia,New Black Panther Party,Black Separatist,,,2015
New Black Panther Party,Waycross,Georgia,New Black Panther Party,Black Separatist,,,2015
New Nation Productions,Shamokin,Pennsylvania,,General Hate,,,2015
New Order,Milwaukee,Wisconsin,,Neo-Nazi,,,2015
New Yorkers for Immigration Control and Enforcement (NYICE),New York,New York,,Anti-Immigrant,,,2015
Non-Universal Teaching Ministries/Christogenea,Fostoria,Ohio,,Christian Identity,,,2015
Noontide Press,Newport Beach,California,,Holocaust Denial,,,2015
Northern Hammerskins,Chicago,Illinois,,Racist Skinhead,,,2015
Northern Hammerskins,Detroit,Michigan,,Racist Skinhead,,,2015
Northwest Front,Seattle,Washington,,White Nationalist,,,2015
Northwest Hammerskins,Seattle,Washington,,Racist Skinhead,,,2015
Northwest Hammerskins,,Idaho,,Racist Skinhead,,Yes,2015
NS Publications,Wyandotte,Michigan,,Neo-Nazi,,,2015
NSM88 Records,Detroit,Michigan,,Hate Music,,,2015
Occidental Dissent,Eufaula,Alabama,,White Nationalist,,,2015
Occidental Quarterly/Charles Martel Society,Atlanta,Georgia,Occidental Quarterly,White Nationalist,,,2015
Official Street Preachers,Los Angeles,California,,General Hate,,,2015
Oklahoma Knights of the KKK,Broken Bow,Oklahoma,,Ku Klux Klan,,,2015
Oklahoma Knights of the KKK,Hugo,Oklahoma,,Ku Klux Klan,,,2015
Oklahoma Knights of the KKK,Idabel,Oklahoma,,Ku Klux Klan,,,2015
Old Glory Skinheads,Mt Airy,North Carolina,,Racist Skinhead,,,2015
OMNI Christian Book Club,Palmdale,California,,Radical Traditional Catholicism,,,2015
Original Knight Riders Knights of the KKK,Beckley,West Virginia,,Ku Klux Klan,,,2015
Original Knight Riders Knights of the KKK,Livingston,Texas,,Ku Klux Klan,,,2015
Original Knight Riders Knights of the KKK,,Virginia,,Ku Klux Klan,,Yes,2015
Original Knight Riders Knights of the KKK,,South Carolina,,Ku Klux Klan,,Yes,2015
Original Knight Riders Knights of the KKK,,Delaware,,Ku Klux Klan,,Yes,2015
Original Knight Riders Knights of the KKK,,Pennsylvania,,Ku Klux Klan,,Yes,2015
Original Knight Riders Knights of the KKK,,Kentucky,,Ku Klux Klan,,Yes,2015
Original Knight Riders Knights of the KKK,,Georgia,,Ku Klux Klan,,Yes,2015
Original Knight Riders Knights of the KKK,,Louisiana,,Ku Klux Klan,,Yes,2015
Original Knight Riders Knights of the KKK,,Ohio,,Ku Klux Klan,,Yes,2015
Original Knight Riders Knights of the KKK,,Tennessee,,Ku Klux Klan,,Yes,2015
Original Knight Riders Knights of the KKK,,Florida,,Ku Klux Klan,,Yes,2015
Original Knight Riders Knights of the KKK,Moyock,North Carolina,,Ku Klux Klan,,,2015
Original Knight Riders Knights of the KKK,,Alabama,,Ku Klux Klan,,Yes,2015
Original Knight Riders Knights of the KKK,,Mississippi,,Ku Klux Klan,,Yes,2015
Our Place Fellowship,Colville,Washington,,Christian Identity,,,2015
Ozark Craft LC,Harrison,Arkansas,,General Hate,,,2015
Pace Confederate Depot,Baldwyn,Mississippi,,Neo-Confederate,,,2015
Pacific Justice Institute,Sacramento,California,Pacific Justice Institute,Anti-LGBTQ,,,2015
Pacifica Forum,Eugene,Oregon,,White Nationalist,,,2015
Pass the Salt Ministries,Hebron,Ohio,,Anti-LGBTQ,,,2015
Patriotic Flags,Charleston,South Carolina,,White Nationalist,,,2015
Pilgrims Covenant Church,Monroe,Wisconsin,,Anti-LGBTQ,,,2015
Pioneer Little Europe Kalispell Montana,Kalispell,Montana,,White Nationalist,,,2015
Poker Face,Allentown,Pennsylvania,,Hate Music,,,2015
The Political Cesspool,Bartlett,Tennessee,,White Nationalist,,,2015
Political Islam,Nashville,Tennessee,,Anti-Muslim,,,2015
Power of Prophecy,Austin,Texas,,General Hate,,,2015
The Pray in Jesus Name Project,Colorado Springs,Colorado,,Anti-LGBTQ,,,2015
Probe Ministries,Plano,Texas,,Anti-LGBTQ,,,2015
ProEnglish,Arlington,Virginia,,Anti-Immigrant,,,2015
Prophet of Doom,Saint Louis,Missouri,,Anti-Muslim,,,2015
Providence Road Baptist Church,Maiden,North Carolina,,Anti-LGBTQ,,,2015
Public Advocate of the United States,Falls Church,Virginia,,Anti-LGBTQ,,,2015
Racial Nationalist Party of America,Lockport,New York,,White Nationalist,,,2015
Radio Jihad/Global Patriot Radio,,New York,,Anti-Muslim,,Yes,2015
Radix Journal,Whitefish,Montana,,White Nationalist,,,2015
Rebel Brigade Knights of the True Invisible Empire,Buchanan,Virginia,,Ku Klux Klan,,,2015
Rebel Brigade Knights of the True Invisible Empire,Martinsville,Virginia,,Ku Klux Klan,,,2015
Rebel Brigade Knights of the True Invisible Empire,,Virginia,,Ku Klux Klan,,Yes,2015
Rebel Brigade Knights of the True Invisible Empire,,Oklahoma,,Ku Klux Klan,,Yes,2015
Rebel Brigade Knights of the True Invisible Empire,,North Carolina,,Ku Klux Klan,,Yes,2015
Rebel Brigade Knights of the True Invisible Empire,,Texas,,Ku Klux Klan,,Yes,2015
Reformation-Bible Puritan-Baptist Church/Vatican Assassins,Newmanstown,Pennsylvania,,General Hate,,,2015
Religious Awareness Network,Washington,District of Columbia,,Anti-Muslim,,,2015
The Remnant,Forest Lake,Minnesota,,Radical Traditional Catholicism,,,2015
Renegade Broadcasting,Sorrento,Florida,,White Nationalist,,,2015
Rense Radio Network,Ashland,Oregon,,General Hate,,,2015
Repent Amarillo,Amarillo,Texas,,General Hate,,,2015
Resistance Records,Chicago,Illinois,,Hate Music,,,2015
Right Wing Resistance,New York,New York,,White Nationalist,,,2015
Right Wing Resistance,,Missouri,,White Nationalist,,Yes,2015
Right Wing Resistance,,California,,White Nationalist,,Yes,2015
Right Wing Resistance,,Arizona,,White Nationalist,,Yes,2015
Right Wing Resistance,,South Carolina,,White Nationalist,,Yes,2015
Right Wing Resistance,,Pennsylvania,,White Nationalist,,Yes,2015
Robert Sungenis,State Line,Pennsylvania,,Radical Traditional Catholicism,,,2015
Ruth Institute,San Marcos,California,Ruth Institute,Anti-LGBTQ,,,2015
Sacto Skinheads,Sacramento,California,,Racist Skinhead,,,2015
Aryan Nations Sadistic Souls MC,Crestline,Ohio,,Neo-Nazi,,,2015
Aryan Nations Sadistic Souls MC,Grovespring,Missouri,,Neo-Nazi,,,2015
Aryan Nations Sadistic Souls MC,Mount Vernon,Washington,,Neo-Nazi,,,2015
Aryan Nations Sadistic Souls MC,,Louisiana,,Neo-Nazi,,Yes,2015
Aryan Nations Sadistic Souls MC,,Virginia,,Neo-Nazi,,Yes,2015
Aryan Nations Sadistic Souls MC,,Wisconsin,,Neo-Nazi,,Yes,2015
Aryan Nations Sadistic Souls MC,,Florida,,Neo-Nazi,,Yes,2015
Sadistic Souls Racist Skinheads,Wood River,Illinois,,Racist Skinhead,,,2015
Samanta Roy Institute of Science and Technology,Shawano,Wisconsin,,General Hate,,,2015
Save California,Sacramento,California,,Anti-LGBTQ,,,2015
Scott-Townsend Publishers,Washington,District of Columbia,,White Nationalist,,,2015
Scriptures for America Worldwide Ministries,Laporte,Colorado,,Christian Identity,,,2015
Sharkhunters International,Hernando,Florida,,General Hate,,,2015
The Shoebat Foundation,Newtown,Pennsylvania,,Anti-Muslim,,,2015
Silver Bullet Gun Oil,Courtland,Virginia,,Anti-Muslim,,,2015
Slaves of the Immaculate Heart of Mary,Richmond,New Hampshire,,Radical Traditional Catholicism,,,2015
The Social Contract Press,Petoskey,Michigan,,White Nationalist,,,2015
Society for the Practical Establishment and Perpetuation of the Ten Commandments,Eatonton,Georgia,,General Hate,,,2015
Soldiers of the Cross Training Institute,Harrison,Arkansas,,Ku Klux Klan,,,2015
Sons of Aesir Motorcycle Club,Irapuato,Arizona,,General Hate,,,2015
Sons of Liberty Media (formerly You Can Run But You Cannot Hide),Annandale,Minnesota,,General Hate,,,2015
South Africa Project,Mandeville,Louisiana,,White Nationalist,,,2015
South Africa Project,,New York,,White Nationalist,,Yes,2015
South Knox Ten Milers,Knoxville,Tennessee,,White Nationalist,,,2015
Southern National Congress,Alexandria,Virginia,,Neo-Confederate,,,2015
Southern National Congress,Fruit Hill,Kentucky,,Neo-Confederate,,,2015
Southern National Congress,Jacksonville,Florida,,Neo-Confederate,,,2015
Southern National Congress,Morganton,Georgia,,Neo-Confederate,,,2015
Southern National Congress,Travelers Rest,South Carolina,,Neo-Confederate,,,2015
Southern National Congress,West Plains,Missouri,,Neo-Confederate,,,2015
Southern National Congress,Wetumpka,Alabama,,Neo-Confederate,,,2015
Southern National Congress,,Tennessee,,Neo-Confederate,,Yes,2015
Southern National Congress,,Texas,,Neo-Confederate,,Yes,2015
Southern National Congress,,North Carolina,,Neo-Confederate,,Yes,2015
Southern National Congress,,Arkansas,,Neo-Confederate,,Yes,2015
Southern National Congress,,Louisiana,,Neo-Confederate,,Yes,2015
Southern National Congress,,Maryland,,Neo-Confederate,,Yes,2015
Southern National Congress,,Mississippi,,Neo-Confederate,,Yes,2015
Southern Nationalist Network,Aiken,South Carolina,,Neo-Confederate,,,2015
Southern Patriot Shoppe,Abbeville,South Carolina,,Neo-Confederate,,,2015
St. Michael's Parish/Mount St. Michael,Spokane,Washington,,Radical Traditional Catholicism,,,2015
Stahlhelm Records,Milwaukee,Wisconsin,,Hate Music,,,2015
Stedfast Baptist Church,Fort Worth,Texas,,Anti-LGBTQ,,,2015
Stop the Islamization of America (SIOA),New York,New York,,Anti-Muslim,,,2015
Stop the Islamization of the World,Houston,Texas,,Anti-Muslim,,,2015
Stormfront,West Palm Beach,Florida,Stormfront,White Nationalist,,,2015
The Straight Way and More,Venice,Florida,,Anti-Muslim,,,2015
Sultan Knish a blog by Daniel Greenfield,New York,New York,,Anti-Muslim,,,2015
Supreme White Alliance,Allentown,Pennsylvania,,Racist Skinhead,,,2015
Supreme White Alliance,Chatsworth,Georgia,,Racist Skinhead,,,2015
Supreme White Alliance,Cincinnati,Ohio,,Racist Skinhead,,,2015
Supreme White Alliance,Clarksville,Tennessee,,Racist Skinhead,,,2015
Supreme White Alliance,Montpelier,Ohio,,Racist Skinhead,,,2015
Supreme White Alliance,Oak Ridge,Tennessee,,Racist Skinhead,,,2015
Supreme White Alliance,,Missouri,,Racist Skinhead,,Yes,2015
TC Family (Traverse City Family),Traverse City,Michigan,,Anti-LGBTQ,,,2015
Tea Party Nation,Franklin,Tennessee,,General Hate,,,2015
Tennessee Freedom Coalition,Nashville,Tennessee,,Anti-Muslim,,,2015
Texas Knights of the KKK,Atlanta,Texas,,Ku Klux Klan,,,2015
Texas Knights of the KKK,Austin,Texas,,Ku Klux Klan,,,2015
Texas knights of the KKK,Avery,Texas,,Ku Klux Klan,,,2015
Texas Knights of the KKK,Beaumont,Texas,,Ku Klux Klan,,,2015
Texas Knights of the KKK,Cleveland,Texas,,Ku Klux Klan,,,2015
Texas Knights of the KKK,Dallas,Texas,,Ku Klux Klan,,,2015
Texas Knights of the KKK,Fort Worth,Texas,,Ku Klux Klan,,,2015
Texas Knights of the KKK,Gatesville,Texas,,Ku Klux Klan,,,2015
Texas Knights of the KKK,Greenville,Texas,,Ku Klux Klan,,,2015
Texas Knights of the KKK,Killeen,Texas,,Ku Klux Klan,,,2015
Texas Knights of the KKK,Lufkin,Texas,,Ku Klux Klan,,,2015
Texas Knights of the KKK,Marshall,Texas,,Ku Klux Klan,,,2015
Texas Knights of the KKK,New Boston,Texas,,Ku Klux Klan,,,2015
Texas Knights of the KKK,New Braunfels,Texas,,Ku Klux Klan,,,2015
Texas Knights of the KKK,San Antonio,Texas,,Ku Klux Klan,,,2015
Texas Knights of the KKK,Simms,Texas,,Ku Klux Klan,,,2015
Texas Knights of the KKK,Temple,Texas,,Ku Klux Klan,,,2015
Texas Knights of the KKK,Texarkana,Texas,,Ku Klux Klan,,,2015
Texas Knights of the KKK,Tyler,Texas,,Ku Klux Klan,,,2015
Texas Knights of the KKK,Waco,Texas,,Ku Klux Klan,,,2015
Texas Knights of the KKK,,Texas,,Ku Klux Klan,,Yes,2015
Texas Rebel Knights of the KKK,Quinlan,Texas,,Ku Klux Klan,,,2015
Texas Rebel Knights of the KKK,Shepherd,Texas,,Ku Klux Klan,,,2015
Third Reich Books,Fairbury,Nebraska,,Neo-Nazi,,,2015
Thomas Robb Ministries,Bergman,Arkansas,,Christian Identity,,,2015
Tightrope,Calico Rock,Arkansas,,Hate Music,,,2015
Tom Brown Ministries,El Paso,Texas,,Anti-LGBTQ,,,2015
Tony Alamo Christian Ministries,Canyon Country,California,,General Hate,,,2015
Tony Alamo Christian Ministries,Fort Smith,Arkansas,,General Hate,,,2015
Tony Alamo Christian Ministries,Fouke,Arkansas,,General Hate,,,2015
Tony Alamo Christian Ministries,New York,New York,,General Hate,,,2015
Tony Alamo Christian Ministries,Texarkana,Texas,,General Hate,,,2015
Tradition in Action,Los Angeles,California,,Radical Traditional Catholicism,,,2015
Traditional Confederate Knights,Winfield,Alabama,,Ku Klux Klan,,,2015
The Traditional Rebel Knights of the KKK,Braddock Heights,Maryland,,Ku Klux Klan,,,2015
The Traditional Rebel Knights of the KKK,Philadelphia,Pennsylvania,,Ku Klux Klan,,,2015
The Traditional Rebel Knights of the KKK,Youngstown,Ohio,,Ku Klux Klan,,,2015
Traditional Values Coalition,Anaheim,California,,Anti-LGBTQ,,,2015
Traditional Values Coalition,Washington,District of Columbia,,Anti-LGBTQ,,,2015
Traditionalist American Knights of the KKK,Highland City,Florida,,Ku Klux Klan,,,2015
Traditionalist American Knights of the KKK,Potosi,Missouri,,Ku Klux Klan,,,2015
Traditionalist Worker Party,Cincinnati,Ohio,Traditionalist Worker Party,Neo-Nazi,,,2015
Traditionalist Worker Party,Knoxville,Tennessee,Traditionalist Worker Party,Neo-Nazi,,,2015
Traditionalist Worker Party,Madisonville,Kentucky,Traditionalist Worker Party,Neo-Nazi,,,2015
Traditionalist Youth Network,Cincinnati,Ohio,,White Nationalist,,,2015
Traditionalist Youth Network,,North Carolina,,White Nationalist,,Yes,2015
Traditionalist Youth Network,Tucson,Arizona,,White Nationalist,,,2015
Trinity White Knights of the KKK,Dry Ridge,Kentucky,,Ku Klux Klan,,,2015
True Invisible Empire Knights,Elkmont,Alabama,,Ku Klux Klan,,,2015
True Light Pentecost Church,Spartanburg,South Carolina,,Anti-LGBTQ,,,2015
Truth At Last,Marietta,Georgia,,General Hate,,,2015
United Dixie White Knights of the Ku Klux Klan,Leakesville,Mississippi,,Ku Klux Klan,,,2015
United Dixie White Knights of the Ku Klux Klan,Jackson,Mississippi,,Ku Klux Klan,,,2015
United Families International,Gilbert,Arizona,,Anti-LGBTQ,,,2015
United Klans of America,Ashland,Alabama,,Ku Klux Klan,,,2015
United Northern and Southern Knights of the KKK,Chicago,Illinois,,Ku Klux Klan,,,2015
United Northern and Southern Knights of the KKK,Rockledge,Georgia,,Ku Klux Klan,,,2015
The United West,Lake Worth,Florida,,Anti-Muslim,,,2015
United White Knights of the KKK,Atlanta,Texas,,Ku Klux Klan,,,2015
United White Knights of the KKK,Austin,Texas,,Ku Klux Klan,,,2015
United White Knights of the KKK,Broken Bow,Oklahoma,,Ku Klux Klan,,,2015
United White Knights of the KKK,Canton,Texas,,Ku Klux Klan,,,2015
United White Knights of the KKK,Clarksville,Texas,,Ku Klux Klan,,,2015
United White Knights of the KKK,Cleveland,Texas,,Ku Klux Klan,,,2015
United White Knights of the KKK,Dallas,Texas,,Ku Klux Klan,,,2015
United White Knights of the KKK,Fort Worth,Texas,,Ku Klux Klan,,,2015
United White Knights of the KKK,Gainesville,Texas,,Ku Klux Klan,,,2015
United White Knights of the KKK,Greenville,Texas,,Ku Klux Klan,,,2015
United White Knights of the KKK,Haworth,Oklahoma,,Ku Klux Klan,,,2015
United White Knights of the KKK,Hugo,Oklahoma,,Ku Klux Klan,,,2015
United White Knights of the KKK,Killeen,Texas,,Ku Klux Klan,,,2015
United White Knights of the KKK,Lake Charles,Louisiana,,Ku Klux Klan,,,2015
United White Knights of the KKK,Lawton,Oklahoma,,Ku Klux Klan,,,2015
United White Knights of the KKK,Leesville,Louisiana,,Ku Klux Klan,,,2015
United White Knights of the KKK,Lufkin,Texas,,Ku Klux Klan,,,2015
United White Knights of the KKK,Marshall,Texas,,Ku Klux Klan,,,2015
United White Knights of the KKK,Maud,Texas,,Ku Klux Klan,,,2015
United White Knights of the KKK,Mount Pleasant,Texas,,Ku Klux Klan,,,2015
United White Knights of the KKK,New Boston,Texas,,Ku Klux Klan,,,2015
United White Knights of the KKK,Paris,Texas,,Ku Klux Klan,,,2015
United White Knights of the KKK,Ruston,Louisiana,,Ku Klux Klan,,,2015
United White Knights of the KKK,Sulphur Springs,Texas,,Ku Klux Klan,,,2015
United White Knights of the KKK,Texarkana,Texas,,Ku Klux Klan,,,2015
United White Knights of the KKK,Tyler,Texas,,Ku Klux Klan,,,2015
United White Knights of the KKK,Waco,Texas,,Ku Klux Klan,,,2015
United White Knights of the KKK,Houston,Texas,,Ku Klux Klan,,,2015
United White Knights of the KKK,Longview,Texas,,Ku Klux Klan,,,2015
United White Knights of the KKK,Shreveport,Louisiana,,Ku Klux Klan,,,2015
United White Knights of the KKK,West Monroe,Louisiana,,Ku Klux Klan,,,2015
US Border Guard,Mesa,Arizona,,Anti-Immigrant,,,2015
VDARE Foundation,Warrenton,Virginia,VDARE,White Nationalist,,,2015
Vinlanders Arizona,Tucson,Arizona,,Racist Skinhead,,,2015
Vinlanders California,San Diego,California,,Racist Skinhead,,,2015
Vinlanders Florida,,Florida,,Racist Skinhead,,Yes,2015
Vinlanders Indiana,Knightstown,Indiana,,Racist Skinhead,,,2015
Vinlanders Minnesota,,Minnesota,,Racist Skinhead,,Yes,2015
Vinlanders New Jersey,Cherry Hill,New Jersey,,Racist Skinhead,,,2015
Vinlanders New Jersey,Point Pleasant Beach,New Jersey,,Racist Skinhead,,,2015
Vinlanders North Carolina,Cameron,North Carolina,,Racist Skinhead,,,2015
Vinlanders Texas,,Texas,,Racist Skinhead,,Yes,2015
Virginia Publishing Company,Lynchburg,Virginia,,Christian Identity,,,2015
War On The Horizon,Washington,District of Columbia,,Black Separatist,,,2015
Warlord Skins,,California,,Racist Skinhead,,Yes,2015
Washington Summit Publishers,Whitefish,Montana,,White Nationalist,,,2015
Watchmen Bible Study Group,Wappapello,Missouri,,Christian Identity,,,2015
Weisman Publications,Apple Valley,Minnesota,,Christian Identity,,,2015
Westboro Baptist Church,Topeka,Kansas,Westboro Baptist Church,Anti-LGBTQ,,,2015
Western Hammerskins,Menifee,California,,Racist Skinhead,,,2015
Western Hammerskins,San Diego,California,,Racist Skinhead,,,2015
Western White Knights of the KKK,Hualapai,Arizona,,Ku Klux Klan,,,2015
Western White Knights of the KKK,,Texas,,Ku Klux Klan,,Yes,2015
What Would Mohammad Do?,Hemet,California,,Anti-Muslim,,,2015
Whitakeronline,Columbia,South Carolina,,White Nationalist,,,2015
White Advocacy Movement,Unknown,Florida,,White Nationalist,,,2015
White Aryan Resistance,Warsaw,Indiana,,Neo-Nazi,,,2015
White Camelia Knights of the KKK,Cleveland,Texas,,Ku Klux Klan,,,2015
White Camelia Knights of the KKK,Pasadena,Texas,,Ku Klux Klan,,,2015
The White Church,Pittsburgh,Pennsylvania,,Neo-Nazi,,,2015
White Pride Home School Resource Center,Bergman,Arkansas,,General Hate,,,2015
White Rabbit Radio,Dearborn Heights,Michigan,,White Nationalist,,,2015
White Trash Rebel,Keller,Texas,,White Nationalist,,,2015
The White Voice,New York,New York,,White Nationalist,,,2015
Windsor Hills Baptist Church,Oklahoma City,Oklahoma,,Anti-LGBTQ,,,2015
Wolves of Vinland,Lynchburg,Virginia,,Neo-Volkisch,,,2015
Wolves of Vinland,,Colorado,,Neo-Volkisch,,Yes,2015
Wolves of Vinland,,Wyoming,,Neo-Volkisch,,Yes,2015
World Congress of Families/International Organization for the Family,Rockford,Illinois,,Anti-LGBTQ,,,2015
World View Foundations,Porterville,California,,White Nationalist,,,2015
WTM Enterprises,Roanoke,Indiana,,White Nationalist,,,2015
Yahweh's Truth,Linwood,Michigan,,Christian Identity,,,2015
11th Hour Remnant Messenger,Santa Fe,New Mexico,,Christian Identity,,,2014
a2z Publications,Las Vegas,Nevada,,General Hate,,,2014
Abiding Truth Ministries,Springfield,Massachusetts,,Anti-LGBTQ,,,2014
Advanced White Society,Pemberton Township,New Jersey,,White Nationalist,,,2014
Aggressive Christianity,Fence Lake,New Mexico,,General Hate,,,2014
All Eyes on Egypt Bookstore,Milledgeville,Georgia,,Black Separatist,,,2014
Alliance for Catholic Tradition,Pleasant Unity,Pennsylvania,,Radical Traditional Catholicism,,,2014
Alternative Right,Atlanta,Georgia,,White Nationalist,,,2014
America's Promise Ministries,Sandpoint,Idaho,America's Promise Ministries,Christian Identity,,,2014
American Border Patrol,Sierra Vista,Arizona,American Border Patrol/American Patrol,Anti-Immigrant,,,2014
American College of Pediatricians,Gainesville,Florida,American College of Pediatricians,Anti-LGBTQ,,,2014
The American Defence League,New York,New York,,Anti-Muslim,,,2014
American Family Association,Tupelo,Mississippi,American Family Association,Anti-LGBTQ,,,2014
American Free Press,Washington,District of Columbia,,General Hate,,,2014
